id,name,artist(s),popularity,liked,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5csdNgCD64XzhsyoRlhzsa,LEGENDARY (feat. J. Cole),"['Joey Bada$$', 'J. Cole']",53,1,0.722,0.654,11,-5.419,0,0.173,0.198,5.73e-06,0.0891,0.418,81.984,278112,4
3I9zZfbeaRo9ks1MB7zhmR,"RING THE ALARM (feat. Nyck Caution, Kirk Knight & Meechy Darko)","['Joey Bada$$', 'Nyck Caution', 'Kirk Knight', 'Meechy Darko']",49,1,0.51,0.907,2,-4.239,1,0.441,0.244,0.0,0.133,0.521,93.442,260122,4
7rBbiuu7s7T0iUTImg4zAc,Be Somebody - Remix,"['Clams Casino', 'A$AP Rocky', 'AJ Tracey', 'Lil B']",33,1,0.592,0.631,1,-6.841,1,0.0898,0.0533,0.0,0.086,0.151,91.893,233773,4
1fJN1YJ7NJfrSDGprKtG0V,Rusty Nails,['Moderat'],2,1,0.744,0.868,11,-7.849,1,0.069,0.0352,0.798,0.0929,0.923,128.021,272200,4
4uhvMW7ly7tJil31YYscAN,Erase Your Social,['Lil Uzi Vert'],69,1,0.705,0.609,3,-5.728,1,0.0729,0.694,0.0,0.234,0.718,140.058,199993,4
7ccI9cStQbQdystvc6TvxD,We Are The Champions - Remastered 2011,['Queen'],66,1,0.467,0.486,10,-6.645,1,0.0274,0.389,0.0,0.121,0.184,95.205,179200,3
6kBODAu0J7doZnLpnwBROy,Stuck On You,['Failure'],36,1,0.481,0.618,8,-6.711,1,0.0271,0.000358,0.00199,0.279,0.279,142.076,268933,4
3C5s5kckS2pGDy1Y2y3jIo,Talk Tonight - Remastered,['Oasis'],40,1,0.369,0.407,4,-9.475,0,0.0243,0.498,1.85e-05,0.374,0.283,86.842,262747,4
4HaASIdQNzTdplQ9zJeLwp,Bigger Boys and Stolen Sweethearts,['Arctic Monkeys'],39,1,0.494,0.587,9,-7.323,1,0.0324,0.00518,0.0,0.0892,0.605,131.774,180640,4
1Ab3hhOw1TJWDgO10vlxNZ,The Trooper - 2015 Remaster,['Iron Maiden'],58,1,0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,252733,4
7qNWSAnjf9fhoeCNNAIjGo,Test & Recognise - Flume Re-work,['Seekae'],48,1,0.55,0.577,8,-8.527,1,0.0594,0.2,1.9e-05,0.11,0.266,110.121,303661,4
1sbB0oyIi2z34IN0ufzQqf,While My Guitar Gently Weeps - Live,"['Paul McCartney', 'Eric Clapton']",0,1,0.332,0.908,7,-3.688,1,0.056,0.47,0.00338,0.96,0.272,118.016,357107,4
2NGa00eaFm9aMGzn6GkE9z,Debonair - Remastered,['The Afghan Whigs'],26,1,0.355,0.881,7,-6.236,1,0.0708,0.000121,0.143,0.0746,0.595,99.895,254040,4
0OuS7YQ8PBWjk2bSxGhMqw,Demon in Profile,['The Afghan Whigs'],33,1,0.598,0.796,6,-3.823,0,0.0306,0.0308,0.256,0.0956,0.202,117.073,204000,4
1YwPNemawMgGe6sF4U0FTE,Suavemente,['Elvis Crespo'],64,1,0.809,0.883,8,-2.965,1,0.0689,0.238,0.00234,0.0625,0.918,124.096,266307,4
0z95CqBxQnSQhNnoWTZJKL,Slow Down Love (feat. Chelsea Cutler),"['Louis The Child', 'Chelsea Cutler']",62,1,0.618,0.59,11,-7.751,0,0.359,0.559,3.42e-05,0.208,0.285,127.275,157891,4
0O45fw2L5vsWpdsOdXwNAR,SexyBack,"['Justin Timberlake', 'Timbaland']",18,1,0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0,242733,4
24CXuh2WNpgeSYUOvz14jk,Sandstorm - Radio Edit,['Darude'],58,1,0.539,0.98,11,-8.18,0,0.0469,0.169,0.982,0.084,0.522,136.087,225373,4
0G0WC5ghZRRH6LJNNXtK1W,Santana,['Alonzo'],58,1,0.786,0.755,8,-7.185,1,0.0961,0.454,5.03e-06,0.138,0.665,146.058,230107,4
5xhQChGGhKLWqBqX4XhtYE,Sail,['AWOLNATION'],69,1,0.825,0.435,1,-9.582,1,0.0568,0.452,0.609,0.0953,0.243,119.038,259102,4
6M14BiCN00nOsba4JaYsHW,Ocean Man,['Ween'],63,1,0.72,0.912,4,-6.13,1,0.0363,0.551,0.00122,0.0982,0.973,122.782,126947,4
393MDhe62s8hbH8ETrlxe5,Mr. Rager,['Kid Cudi'],63,1,0.67,0.726,7,-8.689,1,0.0272,0.39,0.882,0.14,0.581,102.003,294227,4
3xby7fOyqmeON8jsnom0AT,Nightcrawler (feat. Swae Lee & Chief Keef),"['Travis Scott', 'Swae Lee', 'Chief Keef']",61,1,0.522,0.728,3,-3.801,0,0.0323,0.00134,0.0,0.132,0.18,124.045,321560,4
2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,['OutKast'],75,1,0.728,0.974,4,-2.261,0,0.0665,0.103,0.000532,0.175,0.965,79.526,235213,4
